'Time and date','F8-T8'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[15:08:02.000 06/11/2076]',52.747
'[15:08:02.004 06/11/2076]',75.018
'[15:08:02.008 06/11/2076]',91.819
'[15:08:02.012 06/11/2076]',71.111
'[15:08:02.016 06/11/2076]',83.614
'[15:08:02.020 06/11/2076]',84.396
'[15:08:02.023 06/11/2076]',82.051
'[15:08:02.027 06/11/2076]',87.912
'[15:08:02.031 06/11/2076]',93.382
'[15:08:02.035 06/11/2076]',116.044
'[15:08:02.039 06/11/2076]',134.799
'[15:08:02.043 06/11/2076]',156.288
'[15:08:02.047 06/11/2076]',187.937
'[15:08:02.051 06/11/2076]',134.799
'[15:08:02.055 06/11/2076]',101.587
'[15:08:02.059 06/11/2076]',116.825
'[15:08:02.063 06/11/2076]',124.249
'[15:08:02.066 06/11/2076]',131.673
'[15:08:02.070 06/11/2076]',155.897
'[15:08:02.074 06/11/2076]',169.573
'[15:08:02.078 06/11/2076]',168.010
'[15:08:02.082 06/11/2076]',190.672
'[15:08:02.086 06/11/2076]',198.095
'[15:08:02.090 06/11/2076]',176.996
'[15:08:02.094 06/11/2076]',189.890
'[15:08:02.098 06/11/2076]',203.565
'[15:08:02.102 06/11/2076]',214.896
'[15:08:02.105 06/11/2076]',223.492
'[15:08:02.109 06/11/2076]',233.260
'[15:08:02.113 06/11/2076]',227.790
'[15:08:02.117 06/11/2076]',208.254
'[15:08:02.121 06/11/2076]',217.631
'[15:08:02.125 06/11/2076]',237.949
'[15:08:02.129 06/11/2076]',246.545
'[15:08:02.133 06/11/2076]',252.015
'[15:08:02.137 06/11/2076]',266.081
'[15:08:02.141 06/11/2076]',281.319
'[15:08:02.145 06/11/2076]',298.120
'[15:08:02.148 06/11/2076]',315.702
'[15:08:02.152 06/11/2076]',318.828
'[15:08:02.156 06/11/2076]',321.563
'[15:08:02.160 06/11/2076]',335.238
'[15:08:02.164 06/11/2076]',357.900
'[15:08:02.168 06/11/2076]',368.449
'[15:08:02.172 06/11/2076]',369.231
'[15:08:02.176 06/11/2076]',378.608
'[15:08:02.180 06/11/2076]',381.734
'[15:08:02.184 06/11/2076]',375.482
'[15:08:02.188 06/11/2076]',373.138
'[15:08:02.191 06/11/2076]',381.734
'[15:08:02.195 06/11/2076]',383.687
'[15:08:02.199 06/11/2076]',382.906
'[15:08:02.203 06/11/2076]',389.158
'[15:08:02.207 06/11/2076]',391.111
'[15:08:02.211 06/11/2076]',394.237
'[15:08:02.215 06/11/2076]',406.349
'[15:08:02.219 06/11/2076]',411.819
'[15:08:02.223 06/11/2076]',414.554
'[15:08:02.227 06/11/2076]',434.481
'[15:08:02.230 06/11/2076]',446.984
'[15:08:02.234 06/11/2076]',451.282
'[15:08:02.238 06/11/2076]',455.580
'[15:08:02.242 06/11/2076]',472.772
'[15:08:02.246 06/11/2076]',480.195
'[15:08:02.250 06/11/2076]',484.884
'[15:08:02.254 06/11/2076]',487.228
'[15:08:02.258 06/11/2076]',495.043
'[15:08:02.262 06/11/2076]',494.261
'[15:08:02.266 06/11/2076]',489.182
'[15:08:02.270 06/11/2076]',485.275
'[15:08:02.273 06/11/2076]',479.805
'[15:08:02.277 06/11/2076]',485.275
'[15:08:02.281 06/11/2076]',492.698
'[15:08:02.285 06/11/2076]',489.573
'[15:08:02.289 06/11/2076]',486.056
'[15:08:02.293 06/11/2076]',482.930
'[15:08:02.297 06/11/2076]',487.228
'[15:08:02.301 06/11/2076]',468.083
'[15:08:02.305 06/11/2076]',424.713
'[15:08:02.309 06/11/2076]',413.773
'[15:08:02.313 06/11/2076]',402.442
'[15:08:02.316 06/11/2076]',361.416
'[15:08:02.320 06/11/2076]',363.370
'[15:08:02.324 06/11/2076]',364.151
'[15:08:02.328 06/11/2076]',305.934
'[15:08:02.332 06/11/2076]',297.338
'[15:08:02.336 06/11/2076]',279.756
'[15:08:02.340 06/11/2076]',251.233
'[15:08:02.344 06/11/2076]',244.200
'[15:08:02.348 06/11/2076]',243.028
'[15:08:02.352 06/11/2076]',228.181
'[15:08:02.355 06/11/2076]',203.175
'[15:08:02.359 06/11/2076]',214.896
'[15:08:02.363 06/11/2076]',224.274
'[15:08:02.367 06/11/2076]',225.836
'[15:08:02.371 06/11/2076]',199.658
'[15:08:02.375 06/11/2076]',204.347
'[15:08:02.379 06/11/2076]',187.937
'[15:08:02.383 06/11/2076]',107.839
'[15:08:02.387 06/11/2076]',111.746
'[15:08:02.391 06/11/2076]',173.089
'[15:08:02.395 06/11/2076]',100.806
'[15:08:02.398 06/11/2076]',135.189
'[15:08:02.402 06/11/2076]',168.010
'[15:08:02.406 06/11/2076]',126.203
'[15:08:02.410 06/11/2076]',103.932
'[15:08:02.414 06/11/2076]',129.719
'[15:08:02.418 06/11/2076]',59.780
'[15:08:02.422 06/11/2076]',11.722
'[15:08:02.426 06/11/2076]',17.192
'[15:08:02.430 06/11/2076]',36.728
'[15:08:02.434 06/11/2076]',36.337
'[15:08:02.438 06/11/2076]',53.138
'[15:08:02.441 06/11/2076]',54.310
'[15:08:02.445 06/11/2076]',43.370
'[15:08:02.449 06/11/2076]',18.364
'[15:08:02.453 06/11/2076]',-5.470
'[15:08:02.457 06/11/2076]',45.324
'[15:08:02.461 06/11/2076]',-14.457
'[15:08:02.465 06/11/2076]',3.516
'[15:08:02.469 06/11/2076]',34.383
