'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[03:01:41.000 07/11/2076]',-16.801,-33.211,34.383,-37.118,-45.324,14.066,-296.947,275.067,-83.614,-15.238,-116.825,75.018,-5.861,-15.238,-89.475,-28.132,32.821,-96.117,-33.602,-29.304,143.004,-57.436,-89.475
'[03:01:41.004 07/11/2076]',-23.443,-35.556,34.774,-46.496,-46.496,8.987,-304.762,270.379,-82.051,-32.039,-117.216,89.475,-26.569,27.350,-110.965,-31.648,35.946,-101.978,-33.993,-28.523,160.586,-49.621,-110.965
'[03:01:41.008 07/11/2076]',-20.317,-41.026,31.258,-42.198,-44.151,4.689,-304.762,271.160,-78.144,-11.331,-114.481,70.720,-31.648,78.926,-149.255,-31.258,46.496,-110.965,-30.476,-27.741,146.129,3.126,-149.255
'[03:01:41.012 07/11/2076]',-26.960,-35.946,30.085,-33.211,-41.807,0.781,-305.543,279.365,-83.614,-7.033,-89.866,58.217,-0.391,-16.801,-72.283,-31.648,48.059,-108.620,-29.304,-26.960,151.990,-77.753,-72.283
'[03:01:41.016 07/11/2076]',-20.317,-33.993,24.615,-39.853,-37.509,-0.391,-307.106,274.676,-86.349,5.470,-101.197,76.972,1.172,-6.642,-68.767,-29.695,46.496,-94.945,-23.834,-26.178,134.408,-64.860,-68.767
'[03:01:41.020 07/11/2076]',-13.675,-28.523,12.112,-34.383,-34.383,-7.033,-303.590,280.147,-78.926,18.755,-119.560,91.038,-14.457,11.331,-55.482,-28.523,42.979,-80.098,-11.331,-25.788,108.230,-51.966,-55.482
'[03:01:41.023 07/11/2076]',-1.954,-34.774,26.178,-49.621,-22.662,-7.424,-293.822,264.127,-72.283,8.596,-85.958,66.813,15.629,22.271,-85.177,-35.165,39.853,-71.893,-25.397,-25.006,123.858,-30.867,-85.177
'[03:01:41.027 07/11/2076]',-5.079,-37.118,29.304,-44.542,-19.145,-10.549,-288.352,261.392,-71.502,20.708,-75.800,48.840,26.178,34.774,-101.197,-36.337,38.681,-74.628,-28.523,-24.225,137.143,-25.788,-101.197
'[03:01:41.031 07/11/2076]',-7.424,-30.867,24.225,-35.165,-18.755,-16.801,-280.147,267.253,-55.873,21.099,-77.753,50.794,11.722,103.932,-134.408,-42.979,40.635,-69.939,-23.443,-23.443,121.514,29.304,-134.408
'[03:01:41.035 07/11/2076]',-0.391,-28.913,26.960,-40.244,-19.927,-23.053,-269.597,270.769,-55.092,11.331,-65.250,51.184,56.264,6.252,-74.628,-45.324,40.635,-57.827,-26.178,-23.443,98.071,-3.516,-74.628
'[03:01:41.039 07/11/2076]',-1.172,-25.006,22.662,-31.258,-22.271,-26.178,-262.173,276.630,-49.621,21.490,-63.687,42.589,-20.708,59.780,-52.357,-35.165,42.589,-53.138,-21.880,-22.662,81.661,-18.755,-52.357
'[03:01:41.043 07/11/2076]',-2.735,11.331,-5.079,-30.085,-21.490,-26.569,-253.578,276.239,-24.225,32.430,-79.707,60.562,-66.032,69.939,19.927,-33.993,40.635,-23.834,5.861,-21.099,10.159,-21.099,19.927
'[03:01:41.047 07/11/2076]',6.642,16.020,0.781,-35.165,-10.159,-18.755,-247.326,266.081,-10.159,35.946,-80.488,48.449,-25.397,44.151,8.596,-33.211,39.072,-19.927,0.000,-19.536,-0.391,0.781,8.596
'[03:01:41.051 07/11/2076]',5.470,10.549,10.549,-28.132,-3.126,-11.331,-245.372,259.829,-15.238,38.681,-64.860,30.867,-34.383,105.495,-38.681,-41.416,32.039,-30.867,-9.768,-20.317,16.020,40.244,-38.681
'[03:01:41.055 07/11/2076]',-2.344,30.476,0.391,-19.927,3.907,-10.940,-243.028,259.048,2.735,36.728,-79.316,36.337,-28.913,60.952,8.596,-43.761,25.397,-28.913,0.391,-21.099,-9.377,21.490,8.596
'[03:01:41.059 07/11/2076]',1.954,33.211,5.861,-19.536,12.112,-9.377,-237.558,256.703,15.238,28.913,-68.376,26.178,23.053,29.304,-7.814,-41.807,26.960,-29.695,-5.079,-19.145,-5.079,33.211,-7.814
'[03:01:41.063 07/11/2076]',4.298,21.880,14.457,-15.238,19.927,-14.066,-234.432,254.359,15.629,26.569,-62.906,9.768,23.053,-3.126,7.033,-35.946,22.662,-38.681,-13.675,-15.629,-12.894,20.317,7.033
'[03:01:41.066 07/11/2076]',-6.642,46.496,-0.781,-16.410,24.225,-16.801,-231.306,246.545,20.317,47.668,-86.349,25.006,-3.126,8.205,24.225,-20.708,15.238,-21.880,1.563,-12.112,-53.919,30.476,24.225
'[03:01:41.070 07/11/2076]',-14.066,48.840,0.391,-13.284,30.476,-19.927,-228.181,239.512,38.291,35.946,-107.057,35.165,-35.946,57.436,-1.563,-15.238,5.470,-20.317,0.391,-3.907,-69.548,66.422,-1.563
'[03:01:41.074 07/11/2076]',-14.847,37.509,16.410,-7.033,35.556,-23.834,-222.711,243.810,43.761,30.085,-90.256,16.410,-30.476,-7.033,49.621,-9.377,1.563,-28.523,-15.629,2.735,-73.846,14.457,49.621
'[03:01:41.078 07/11/2076]',-12.112,36.728,30.476,-14.066,43.761,-27.741,-214.505,239.902,30.867,42.198,-68.767,4.298,-17.973,1.954,30.476,-4.298,0.781,-23.053,-29.695,1.954,-42.589,-2.344,30.476
'[03:01:41.082 07/11/2076]',-13.675,35.165,34.774,-4.689,50.794,-32.039,-210.208,243.419,46.886,9.377,-76.972,19.145,-8.987,1.563,8.987,-0.781,-6.642,-25.397,-33.993,1.954,-39.853,13.284,8.987
'[03:01:41.086 07/11/2076]',-11.722,29.304,39.072,5.079,58.608,-37.509,-205.519,247.717,62.906,3.907,-89.866,26.569,-30.867,24.615,2.735,8.596,-11.331,-24.225,-38.291,3.516,-57.045,27.350,2.735
'[03:01:41.090 07/11/2076]',-11.722,22.662,37.118,16.020,59.389,-48.840,-199.267,254.359,42.198,14.066,-80.488,17.192,5.470,-6.252,-20.708,16.801,-16.020,-27.350,-36.337,-4.298,-37.118,23.053,-20.708
'[03:01:41.094 07/11/2076]',-8.987,18.755,23.053,37.509,58.217,-60.562,-186.764,261.392,39.072,17.582,-84.005,16.410,-10.940,40.635,-53.138,14.066,-20.708,-25.788,-22.271,-12.503,-37.509,58.999,-53.138
'[03:01:41.098 07/11/2076]',-10.940,16.410,23.053,47.277,53.529,-73.846,-180.513,278.584,48.840,10.940,-101.587,33.211,-34.383,24.615,-19.927,23.053,-25.006,-15.629,-22.271,-11.331,-63.297,43.370,-19.927
'[03:01:41.102 07/11/2076]',-25.006,11.331,23.053,65.641,41.416,-87.521,-172.698,296.166,11.722,17.973,-111.355,55.092,10.549,-40.244,-19.536,25.006,-28.523,-14.066,-22.271,-15.238,-34.774,12.894,-19.536
'[03:01:41.105 07/11/2076]',-32.039,7.033,21.490,79.707,33.211,-93.382,-163.321,300.855,10.549,-0.391,-100.415,50.794,-29.695,8.596,-42.589,25.788,-30.476,-11.722,-20.708,-16.410,-21.490,22.271,-42.589
'[03:01:41.109 07/11/2076]',-18.364,-12.503,20.317,89.866,30.085,-90.647,-159.414,300.073,3.907,-0.391,-91.429,55.482,-23.834,-2.735,-34.383,30.476,-26.960,-8.205,-19.536,-14.457,-26.960,15.629,-34.383
'[03:01:41.113 07/11/2076]',-25.788,-34.774,19.145,118.779,20.317,-91.429,-162.149,310.623,-30.476,5.470,-75.800,47.668,-7.424,-40.244,-37.118,32.039,-27.741,-22.662,-18.364,-14.847,-1.563,-8.596,-37.118
'[03:01:41.117 07/11/2076]',-23.053,-44.151,17.582,123.858,16.801,-88.694,-164.103,311.404,-22.662,0.781,-84.396,44.542,-44.151,-17.192,-40.244,41.026,-33.602,-23.053,-16.801,-16.020,2.735,-17.582,-40.244
'[03:01:41.121 07/11/2076]',-28.523,-42.979,17.192,121.905,10.549,-89.866,-166.447,314.139,-31.648,11.331,-91.819,64.860,-55.482,-28.132,-5.079,41.416,-34.383,-16.020,-16.410,-15.629,-3.907,-46.105,-5.079
'[03:01:41.125 07/11/2076]',-41.416,-44.933,17.192,134.408,3.516,-90.647,-164.493,317.656,-33.993,-8.596,-92.601,59.780,-90.256,-2.344,-26.960,44.151,-34.774,-23.053,-16.410,-14.457,5.861,-36.728,-26.960
'[03:01:41.129 07/11/2076]',-60.171,-39.463,16.801,143.394,-7.033,-90.647,-164.103,324.298,-43.761,-21.490,-74.237,55.873,-87.131,-39.463,-2.735,46.105,-32.821,-26.960,-16.020,-14.066,24.615,-80.879,-2.735
'[03:01:41.133 07/11/2076]',-65.250,-40.244,16.020,139.878,-19.927,-85.177,-161.758,319.219,-57.827,-9.377,-82.051,67.204,-85.568,-4.298,-30.476,39.072,-30.476,-23.834,-15.238,-14.066,26.178,-48.059,-30.476
'[03:01:41.137 07/11/2076]',-67.204,-45.714,15.629,139.096,-32.821,-81.661,-162.930,320.781,-61.343,7.814,-110.965,76.190,-104.713,50.012,-66.813,33.993,-26.960,-29.695,-14.847,-13.675,18.364,1.563,-66.813
'[03:01:41.141 07/11/2076]',-81.661,-42.589,15.238,143.004,-47.277,-78.926,-161.368,323.516,-79.316,2.344,-83.614,58.608,-37.900,-36.337,-58.999,32.430,-20.317,-39.463,-14.457,-13.284,44.542,-30.085,-58.999
'[03:01:41.145 07/11/2076]',-90.256,-35.556,14.847,140.659,-55.092,-69.548,-156.679,312.967,-91.429,13.284,-61.734,39.072,-12.894,-22.271,-88.303,24.225,-12.112,-40.635,-14.066,-12.503,63.297,-11.331,-88.303
'[03:01:41.148 07/11/2076]',-88.694,-37.118,14.457,139.487,-60.171,-62.515,-159.414,312.186,-80.879,9.377,-80.098,48.449,-35.165,-28.913,-57.045,18.755,-8.596,-47.668,-13.675,-12.503,63.687,-36.728,-57.045
'[03:01:41.152 07/11/2076]',-64.078,-44.542,14.066,126.593,-60.952,-54.310,-160.586,310.232,-76.972,-4.298,-76.581,61.343,-68.376,-18.755,-26.178,17.582,-2.735,-40.635,-13.284,-12.112,56.264,-58.608,-26.178
'[03:01:41.156 07/11/2076]',-61.734,-42.979,13.675,121.514,-67.204,-47.277,-155.116,303.199,-76.972,16.410,-82.051,51.575,-52.357,-22.271,-32.430,17.582,1.954,-43.370,-12.894,-11.722,51.184,-46.886,-32.430
'[03:01:41.160 07/11/2076]',-60.952,-30.476,13.284,112.918,-72.674,-39.463,-151.209,300.464,-73.455,24.225,-82.051,51.184,-104.713,55.092,-36.337,6.642,9.377,-39.463,-12.503,-11.331,51.575,-32.039,-36.337
'[03:01:41.164 07/11/2076]',-48.840,-16.801,12.894,95.336,-77.753,-34.383,-148.083,305.153,-76.190,30.867,-87.521,73.065,-89.475,37.900,-12.112,4.689,16.020,-18.755,-12.112,-10.940,32.821,-35.165,-12.112
'[03:01:41.168 07/11/2076]',-58.999,3.907,12.503,86.740,-80.879,-28.132,-137.143,293.431,-81.270,36.728,-66.422,59.780,-49.231,23.834,-19.536,-4.298,20.317,-9.377,-11.722,-10.549,40.244,-26.178,-19.536
'[03:01:41.172 07/11/2076]',-57.436,7.033,12.112,91.819,-79.316,-16.801,-134.408,287.179,-98.071,40.635,-38.291,51.184,-7.814,16.801,-35.946,-16.801,26.960,-8.596,-11.331,-10.159,58.999,-15.629,-35.946
'[03:01:41.176 07/11/2076]',-39.853,-1.563,11.722,104.322,-70.720,-5.079,-135.971,289.133,-64.860,32.430,-48.449,42.979,-56.654,80.098,-41.026,-18.364,32.821,-22.662,-10.940,-10.159,52.747,-1.954,-41.026
'[03:01:41.180 07/11/2076]',-37.509,-13.675,11.331,122.686,-70.720,3.907,-134.017,284.444,-73.455,27.741,-20.708,21.490,-21.880,87.131,-87.131,-22.271,39.853,-39.072,-10.549,-9.768,81.661,19.145,-87.131
'[03:01:41.184 07/11/2076]',-34.383,-12.112,10.940,124.640,-72.674,10.549,-136.361,289.524,-91.038,60.171,-26.960,24.615,5.470,74.628,-88.694,-23.053,46.496,-40.635,-10.159,-9.377,77.753,24.615,-88.694
'[03:01:41.188 07/11/2076]',-28.523,1.954,10.940,112.137,-65.641,17.973,-135.580,281.319,-69.939,54.701,-39.072,37.118,6.252,68.376,-67.985,-22.271,51.966,-35.946,-10.159,-9.377,56.654,25.397,-67.985
'[03:01:41.191 07/11/2076]',-14.457,15.629,10.549,91.429,-60.952,22.662,-128.938,272.332,-69.548,63.687,-11.722,30.476,26.960,16.801,-6.642,-23.443,60.952,-18.364,-9.768,-8.987,44.933,-22.271,-6.642
'[03:01:41.195 07/11/2076]',-3.907,19.145,10.159,82.051,-51.966,25.006,-126.593,263.736,-66.813,69.548,0.391,20.708,79.707,-97.289,61.734,-19.536,60.562,-8.987,-9.377,-8.596,25.397,-75.409,61.734
'[03:01:41.199 07/11/2076]',4.298,25.006,10.159,75.018,-38.291,30.476,-126.984,252.015,-22.662,32.821,-12.112,37.900,-41.416,48.449,44.933,-15.238,51.575,-0.781,-9.377,-8.596,-8.205,-28.523,44.933
'[03:01:41.203 07/11/2076]',10.159,14.066,9.768,83.614,-32.430,31.258,-127.766,248.889,-14.457,29.695,-31.258,52.747,-37.509,58.608,19.927,-3.516,44.933,-3.907,-8.987,-8.205,4.689,-28.523,19.927
'[03:01:41.207 07/11/2076]',17.973,8.205,9.377,89.475,-21.490,35.946,-124.249,238.339,-17.973,38.291,-16.410,39.463,-10.549,36.337,10.549,6.252,46.105,-9.377,-8.596,-7.814,7.424,-32.430,10.549
'[03:01:41.211 07/11/2076]',23.053,1.172,9.377,97.680,-13.284,37.118,-122.295,232.869,-14.457,32.039,-3.907,34.383,0.781,55.482,-25.397,17.582,46.105,-16.801,-8.596,-7.814,10.159,-9.377,-25.397
